lam,eq_max,eq_min,bond_mode,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
50,0.8,0.2,short,0.32479806898458374,0.0316192742658039,-0.19024138283113934,-0.05581141219311383,0.28372374033261716,0.035057277018237125,-0.3043822596346947,-0.0586542138864792
50,0.8,0.3,long,0.6389728436325252,0.06599966440991675,-0.18419742973443787,-0.021431022049000978,0.20097021760622644,0.0270879674068676,-0.3043822596346947,-0.06662352349784872
50,0.8,0.3,medium,0.4771875132095316,0.04678417244335845,-0.18759198033572277,-0.04064651401555928,0.28073291199409034,0.03608854136826038,-0.3043822596346947,-0.05762294953645594
50,0.8,0.3,short,0.35146808114604255,0.03496587874103176,-0.18844461420416836,-0.05246480771788597,0.3301767749713803,0.041430567926617264,-0.3043822596346947,-0.05228092297809906
50,0.8,0.4,long,0.638505316188356,0.06495218048722752,-0.18284817215784965,-0.02247850597169021,0.24857535844099135,0.03356383628806639,-0.3043822596346947,-0.060147654616649934
50,0.8,0.4,medium,0.4838844551981886,0.04845832491215253,-0.18590082673770203,-0.0389723615467652,0.32322664563706505,0.04210050979272074,-0.3043822596346947,-0.05161098111199559
50,0.8,0.4,short,0.3743892009355471,0.03831248321625961,-0.18669655572858146,-0.04911820324265812,0.36727197429599323,0.046952616618682705,-0.3043822596346947,-0.04675887428603362
50,0.8,0.5,long,0.6210322924170858,0.06344445944766616,-0.18161695532906175,-0.023986227011251568,0.29460999700473717,0.03997356088893924,-0.3043822596346947,-0.053737930015777084
50,0.8,0.5,medium,0.4811437149756435,0.04967224026407448,-0.18428018016978254,-0.037758446194843254,0.3500142684813833,0.04629338770924254,-0.3043822596346947,-0.047418103195473786
50,0.8,0.5,short,0.38942598503917747,0.04119885057461535,-0.18499756187990435,-0.04623183588430238,0.39301813321198464,0.051374834033088554,-0.3043822596346947,-0.04233665687162777
50,0.9,0.2,long,0.6026850640406053,0.06932856795460016,-0.2002100612734049,-0.018102118504317574,0.12581330452435113,0.018432841520428688,-0.3380014341465025,-0.07527864938428763
50,0.9,0.2,medium,0.44715937250886684,0.047473458209646116,-0.2038332261281638,-0.039957228249271615,0.18483127816258135,0.025789456882200544,-0.3380014341465025,-0.06792203402251579
50,0.9,0.2,short,0.3196514333477199,0.03403827732953076,-0.2047055879507339,-0.05339240912938697,0.23997387435876727,0.032679317093464263,-0.3380014341465025,-0.06103217381125206
50,0.9,0.3,long,0.6104895904994293,0.06828108403191095,-0.19876959415878026,-0.01914960242700678,0.16873943075894496,0.02471000748209471,-0.3380014341465025,-0.0690014834226216
50,0.9,0.3,medium,0.4588109363694348,0.049147610678440194,-0.20210351005344362,-0.038283075780477537,0.23955466315270565,0.0337105814434875,-0.3380014341465025,-0.060000909461228824
50,0.9,0.3,short,0.3446785567308396,0.03738488180475863,-0.20294091386332347,-0.0500458046541591,0.28314929728891025,0.039052608001844374,-0.3380014341465025,-0.05465888290287195
50,0.9,0.4,long,0.6086842223915272,0.06723360010922172,-0.19744443751539997,-0.02019708634969601,0.21264194081149354,0.0311858763632935,-0.3380014341465025,-0.06252561454142283
50,0.9,0.4,medium,0.46592245430012197,0.050821763147234265,-0.20044256446063557,-0.036608923311683465,0.2791925452193675,0.03972254986794787,-0.3380014341465025,-0.053988941036768455
50,0.9,0.4,short,0.36660988614741546,0.04073148627998648,-0.20122407984872392,-0.04669920017893125,0.3182206944101379,0.04457465669390983,-0.3380014341465025,-0.049136834210806495
50,0.9,0.5,long,0.5925970069315862,0.06572587906966035,-0.19623521313273073,-0.021704807389257383,0.25529094006750647,0.03759560096416637,-0.3380014341465025,-0.05611588994054995
50,0.9,0.5,medium,0.4647952147587217,0.05203567849915624,-0.1988508664755292,-0.03539500795976149,0.30471468824477255,0.043915427784469656,-0.3380014341465025,-0.04979606312024667
